icd9code,long_description,short_description
001.0,Cholera due to vibrio cholerae,Cholera d/t vib cholerae
001.1,Cholera due to vibrio cholerae el tor,Cholera d/t vib el tor
001.9,Cholera - unspecified,Cholera NOS
002.0,Typhoid fever,Typhoid fever
002.1,Paratyphoid fever A,Paratyphoid fever a
002.2,Paratyphoid fever B,Paratyphoid fever b
002.3,Paratyphoid fever C,Paratyphoid fever c
002.9,Paratyphoid fever - unspecified,Paratyphoid fever NOS
003.0,Salmonella gastroenteritis,Salmonella enteritis
003.1,Salmonella septicemia,Salmonella septicemia
003.20,Localized salmonella infection - unspecified,Local salmonella inf NOS
003.21,Salmonella meningitis,Salmonella meningitis
003.22,Salmonella pneumonia,Salmonella pneumonia
003.23,Salmonella arthritis,Salmonella arthritis
003.24,Salmonella osteomyelitis,Salmonella osteomyelitis
003.29,Other localized salmonella infections,Local salmonella inf NEC
003.8,Other specified salmonella infections,Salmonella infection NEC
003.9,Salmonella infection - unspecified,Salmonella infection NOS
004.0,Shigella dysenteriae,Shigella dysenteriae
004.1,Shigella flexneri,Shigella flexneri
004.2,Shigella boydii,Shigella boydii
004.3,Shigella sonnei,Shigella sonnei
004.8,Other specified shigella infections,Shigella infection NEC
004.9,Shigellosis - unspecified,Shigellosis NOS
005.0,Staphylococcal food poisoning,Staph food poisoning
005.1,Botulism food poisoning,Botulism food poisoning
005.2,Food poisoning due to Clostridium perfringens (C. welchii),Food pois d/t c. perfrin
005.3,Food poisoning due to other Clostridia,Food pois: clostrid NEC
005.4,Food poisoning due to Vibrio parahaemolyticus,Food pois: v. parahaem
005.81,Food poisoning due to Vibrio vulnificus,Food poisn d/t v. vulnif
005.89,Other bacterial food poisoning,Bact food poisoning NEC
005.9,Food poisoning - unspecified,Food poisoning NOS
006.0,Acute amebic dysentery without mention of abscess,Ac amebiasis w/o abscess
006.1,Chronic intestinal amebiasis without mention of abscess,Chr amebiasis w/o absces
006.2,Amebic nondysenteric colitis,Amebic nondysent colitis
006.3,Amebic liver abscess,Amebic liver abscess
006.4,Amebic lung abscess,Amebic lung abscess
006.5,Amebic brain abscess,Amebic brain abscess
006.6,Amebic skin ulceration,Amebic skin ulceration
006.8,Amebic infection of other sites,Amebic infection NEC
006.9,Amebiasis - unspecified,Amebiasis NOS
007.0,Balantidiasis,Balantidiasis
007.1,Giardiasis,Giardiasis
007.2,Coccidiosis,Coccidiosis
007.3,Intestinal trichomoniasis,Intest trichomoniasis
007.4,Cryptosporidiosis,Cryptosporidiosis
007.5,Cyclosporiasis,Cyclosporiasis
007.8,Other specified protozoal intestinal diseases,Protozoal intest dis NEC
007.9,Unspecified protozoal intestinal disease,Protozoal intest dis NOS
008.00,Intestinal infection due to E. coli - unspecified,Intest infec e coli NOS
008.01,Intestinal infection due to enteropathogenic E. coli,Int inf e coli entrpath
008.02,Intestinal infection due to enterotoxigenic E. coli,Int inf e coli entrtoxgn
008.03,Intestinal infection due to enteroinvasive E. coli,Int inf e coli entrnvsv
008.04,Intestinal infection due to enterohemorrhagic E. coli,Int inf e coli entrhmrg
008.09,Intestinal infection due to other intestinal E. coli infections,Int inf e coli spcf NEC
008.1,Intestinal infection due to arizona group of paracolon bacilli,Arizona enteritis
008.2,Intestinal infection due to aerobacter aerogenes,Aerobacter enteritis
008.3,Intestinal infection due to proteus (mirabilis) (morganii),Proteus enteritis
008.41,Intestinal infection due to staphylococcus,Staphylococc enteritis
008.42,Intestinal infection due to pseudomonas,Pseudomonas enteritis
008.43,Intestinal infection due to campylobacter,Int infec campylobacter
008.44,Intestinal infection due to yersinia enterocolitica,Int inf yrsnia entrcltca
008.45,Intestinal infection due to Clostridium difficile,Int inf clstrdium dfcile
008.46,Intestinal infection due to other anaerobes,Intes infec oth anerobes
008.47,Intestinal infection due to other gram-negative bacteria,Int inf oth grm neg bctr
008.49,Intestinal infection due to other organisms,Bacterial enteritis NEC
008.5,Bacterial enteritis - unspecified,Bacterial enteritis NOS
008.61,Enteritis due to rotavirus,Intes infec rotavirus
008.62,Enteritis due to adenovirus,Intes infec adenovirus
008.63,Enteritis due to norwalk virus,Int inf norwalk virus
