Diag Code   Short Description               Long Description
0010        Cholera d/t vib cholerae        Cholera due to vibrio cholerae
0011        Cholera d/t vib el tor          Cholera due to vibrio cholerae el tor
0019        Cholera NOS                     Cholera, unspecified
0020        Typhoid fever                   Typhoid fever
0021        Paratyphoid fever a             Paratyphoid fever A
0022        Paratyphoid fever b             Paratyphoid fever B
0023        Paratyphoid fever c             Paratyphoid fever C
0029        Paratyphoid fever NOS           Paratyphoid fever, unspecified
0030        Salmonella enteritis            Salmonella gastroenteritis
0031        Salmonella septicemia           Salmonella septicemia
00320       Local salmonella inf NOS        Localized salmonella infection, unspecified
00321       Salmonella meningitis           Salmonella meningitis
00322       Salmonella pneumonia            Salmonella pneumonia
00323       Salmonella arthritis            Salmonella arthritis
00324       Salmonella osteomyelitis        Salmonella osteomyelitis
00329       Local salmonella inf NEC        Other localized salmonella infections
0038        Salmonella infection NEC        Other specified salmonella infections
0039        Salmonella infection NOS        Salmonella infection, unspecified
0040        Shigella dysenteriae            Shigella dysenteriae
0041        Shigella flexneri               Shigella flexneri
0042        Shigella boydii                 Shigella boydii
0043        Shigella sonnei                 Shigella sonnei
0048        Shigella infection NEC          Other specified shigella infections
0049        Shigellosis NOS                 Shigellosis, unspecified
0050        Staph food poisoning            Staphylococcal food poisoning
0051        Botulism food poisoning         Botulism food poisoning
0052        Food pois d/t c. perfrin        Food poisoning due to Clostridium perfringens (C. welchii)
0053        Food pois: clostrid NEC         Food poisoning due to other Clostridia
0054        Food pois: v. parahaem          Food poisoning due to Vibrio parahaemolyticus
00581       Food poisn d/t v. vulnif        Food poisoning due to Vibrio vulnificus
00589       Bact food poisoning NEC         Other bacterial food poisoning
0059        Food poisoning NOS              Food poisoning, unspecified
0060        Ac amebiasis w/o abscess        Acute amebic dysentery without mention of abscess
0061        Chr amebiasis w/o absces        Chronic intestinal amebiasis without mention of abscess
0062        Amebic nondysent colitis        Amebic nondysenteric colitis
0063        Amebic liver abscess            Amebic liver abscess
0064        Amebic lung abscess             Amebic lung abscess
0065        Amebic brain abscess            Amebic brain abscess
0066        Amebic skin ulceration          Amebic skin ulceration
0068        Amebic infection NEC            Amebic infection of other sites
0069        Amebiasis NOS                   Amebiasis, unspecified
0070        Balantidiasis                   Balantidiasis
0071        Giardiasis                      Giardiasis
0072        Coccidiosis                     Coccidiosis
0073        Intest trichomoniasis           Intestinal trichomoniasis
0074        Cryptosporidiosis               Cryptosporidiosis
0075        Cyclosporiasis                  Cyclosporiasis
0078        Protozoal intest dis NEC        Other specified protozoal intestinal diseases
0079        Protozoal intest dis NOS        Unspecified protozoal intestinal disease
00800       Intest infec e coli NOS         Intestinal infection due to E. coli, unspecified
00801       Int inf e coli entrpath         Intestinal infection due to enteropathogenic E. coli
00802       Int inf e coli entrtoxgn        Intestinal infection due to enterotoxigenic E. coli
00803       Int inf e coli entrnvsv         Intestinal infection due to enteroinvasive E. coli
00804       Int inf e coli entrhmrg         Intestinal infection due to enterohemorrhagic E. coli
00809       Int inf e coli spcf NEC         Intestinal infection due to other intestinal E. coli infections
0081        Arizona enteritis               Intestinal infection due to arizona group of paracolon bacilli
0082        Aerobacter enteritis            Intestinal infection due to aerobacter aerogenes
0083        Proteus enteritis               Intestinal infection due to proteus (mirabilis) (morganii)
00841       Staphylococc enteritis          Intestinal infection due to staphylococcus
00842       Pseudomonas enteritis           Intestinal infection due to pseudomonas
00843       Int infec campylobacter         Intestinal infection due to campylobacter
00844       Int inf yrsnia entrcltca        Intestinal infection due to yersinia enterocolitica
00845       Int inf clstrdium dfcile        Intestinal infection due to Clostridium difficile
00846       Intes infec oth anerobes        Intestinal infection due to other anaerobes
00847       Int inf oth grm neg bctr        Intestinal infection due to other gram-negative bacteria
00849       Bacterial enteritis NEC         Intestinal infection due to other organisms
0085        Bacterial enteritis NOS         Bacterial enteritis, unspecified
00861       Intes infec rotavirus           Enteritis due to rotavirus
00862       Intes infec adenovirus          Enteritis due to adenovirus
00863       Int inf norwalk virus           Enteritis due to norwalk virus
00864       Int inf oth sml rnd vrus        Enteritis due to other small round viruses [SRV's]
00865       Enteritis d/t calicivirs        Enteritis due to calicivirus
00866       Intes infec astrovirus          Enteritis due to astrovirus
00867       Int inf enterovirus NEC         Enteritis due to enterovirus nec
00869       Other viral intes infec         Enteritis due to other viral enteritis
0088        Viral enteritis NOS             Intestinal infection due to other organism, not elsewhere classified
0090        Infectious enteritis NOS        Infectious colitis, enteritis, and gastroenteritis
0091        Enteritis of infect orig        Colitis, enteritis, and gastroenteritis of presumed infectious origin
0092        Infectious diarrhea NOS         Infectious diarrhea
0093        Diarrhea of infect orig         Diarrhea of presumed infectious origin
01000       Prim TB complex-unspec          Primary tuberculous infection, unspecified
01001       Prim TB complex-no exam         Primary tuberculous infection, bacteriological or histological examination not done
01002       Prim TB complex-exm unkn        Primary tuberculous infection, bacteriological or histological examination unknown (at present)
01003       Prim TB complex-micro dx        Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy
01004       Prim TB complex-cult dx         Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01005       Prim TB complex-histo dx        Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01006       Prim TB complex-oth test        Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01010       Prim TB pleurisy-unspec         Tuberculous pleurisy in primary progressive tuberculosis, unspecified
01011       Prim TB pleurisy-no exam        Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done
01012       Prim TB pleur-exam unkn         Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)
01013       Prim TB pleuris-micro dx        Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy
01014       Prim TB pleurisy-cult dx        Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01015       Prim TB pleuris-histo dx        Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01016       Prim TB pleuris-oth test        Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01080       Prim prog TB NEC-unspec         Other primary progressive tuberculosis, unspecified
